id,name,logo_path,territory_id,confed_id,official_name,code,gender,type,level,is_active,team_type
245,First Division,res://assets/textures/tournament_logo/245.png,132,19,Liberian LFA First Division,,0,1,1,1,0
246,Premier League,res://assets/textures/tournament_logo/246.png,133,16,Libyan Premier League,,0,1,1,1,0
247,A Lyga,res://assets/textures/tournament_logo/247.png,135,8,Lithuanian A Lyga,,0,1,1,1,0
248,I Lyga,res://assets/textures/tournament_logo/248.png,135,8,Lithuanian I Lyga,,0,1,2,1,0
249,II Lyga,res://assets/textures/tournament_logo/249.png,135,8,Lithuanian I Lyga,,0,1,3,1,0
250,National Division,res://assets/textures/tournament_logo/250.png,136,11,Luxembourg National Division,,0,1,1,1,0
251,Division of Honour,res://assets/textures/tournament_logo/251.png,136,11,Luxembourg Division of Honour,,0,1,2,1,0
252,1. Division,res://assets/textures/tournament_logo/252.png,136,11,Luxembourg 1. Division,,0,1,3,1,0
253,Liga de Elite,res://assets/textures/tournament_logo/253.png,137,21,Macau Liga de Elite,,0,1,1,1,0
254,2 Divisão,res://assets/textures/tournament_logo/254.png,137,21,Macau 2 Divisão,,0,1,2,1,0
255,Pro League,res://assets/textures/tournament_logo/255.png,138,18,Malagasy Pro League,,0,1,1,1,0
256,Super League,res://assets/textures/tournament_logo/256.png,140,18,Malawi Super League,,0,1,1,1,0
257,Super League,res://assets/textures/tournament_logo/257.png,141,23,Malaysian Super League,,0,1,1,1,0
258,Premier League,res://assets/textures/tournament_logo/258.png,141,23,Malaysian Premier League,,0,1,2,1,0
